22/10/2020 12:01:47
URL,Title,Price,Bids,Time Left
https://www.ebay.com/itm/POKEMON-TCG-XY12-EVOLUTIONS-BOOSTER-BOX-SEALED-2-BOX-FRESH-MINT-FACTORY-SEALED-/303736149921,POKEMON TCG XY12 EVOLUTIONS BOOSTER BOX SEALED (2 BOX) FRESH MINT FACTORY SEALED,427.92,71,P9DT6H1M16S
https://www.ebay.com/itm/Brand-New-Pokemon-XY-Evolutions-Booster-Box-factory-Sealed-unopened-Minty-Box-/392987458532,Brand New! Pokemon XY Evolutions Booster Box factory Sealed unopened! Minty Box!,423.34,55,P2DT3H2M8S
https://www.ebay.com/itm/Pokemon-XY-evolutions-factory-sealed-booster-packs-36-no-box-charizard-/274543326039,Pokemon XY evolutions factory sealed booster packs 36 🔥no box🔥 (charizard),388.29,23,P0DT5H47M14S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-booster-box-sealed-/174488638704,Pokemon XY Evolutions booster box sealed,404.27,31,P6DT0H45M27S
https://www.ebay.com/itm/BRAND-NEW-XY-Evolutions-Sealed-Booster-Box-Pokemon-TCG-36-packs-/324342631676,BRAND NEW - XY Evolutions Sealed Booster Box Pokemon TCG: 36 packs,445.0,6,P0DT3H3M12S
https://www.ebay.com/itm/Pokemon-Evolutions-Booster-Box-XY12-New-Factory-Sealed-Case-Fresh-Base-Set-/254755844295,Pokemon Evolutions Booster Box XY12 New Factory Sealed Case Fresh Base Set 🔥🔥,426.0,28,P0DT9H58M41S
https://www.ebay.com/itm/36x-EVOLUTIONS-2016-SEALED-BOOSTER-PACKS-BOOSTER-BOX-Charizard-Holo-EX-/274539265763,36x EVOLUTIONS 2016 SEALED BOOSTER PACKS ' BOOSTER BOX ' Charizard Holo / EX?,408.04,37,P3DT3H5M2S
https://www.ebay.com/itm/Evolutions-Booster-Box-Brand-New-Factory-Sealed-/373282177117,Evolutions Booster Box Brand New Factory Sealed,381.39,52,P5DT23H38M11S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267735000,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,425.0,32,P0DT8H28M12S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/184492370244,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,405.0,22,P2DT2H21M20S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/313262755892,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,420.0,16,P2DT6H20M19S
https://www.ebay.com/itm/Pokemon-Evolution-XY-Sealed-Unopened-Booster-box-36-pack-box-Evolutions-Mint-/274541602988,Pokémon Evolution XY Sealed Unopened Booster box 36 pack box  Evolutions Mint,420.0,49,P2DT19H58M59S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-Factory-Sealed-Pokemon-TCG-36-Packs-/363146211181,Pokemon XY Evolutions Booster Box Factory Sealed - Pokemon TCG 36 Packs,420.0,51,P2DT23H11M34S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/224202376638,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,400.0,21,P5DT9H58M23S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/274537598808,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,400.0,16,P1DT12H49M1S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Booster-Box-FACTORY-SEALED-GEM-MINT-36-Booster-Packs-/264904632741,2016 Pokemon XY Evolutions Booster Box FACTORY SEALED GEM MINT 36 Booster Packs,400.0,13,P3DT9H58M14S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-Factory-Sealed-POKEMON-TCG-36-Booster-Packs-/184492673993,XY Evolutions Booster Box Factory Sealed POKEMON TCG - 36 Booster Packs,393.0,14,P2DT8H7M13S
https://www.ebay.com/itm/XY-Evolutions-Booster-Box-36-Packs-Pokemon-TCG-Brand-New-Factory-Sealed-/174488942888,XY Evolutions Booster Box 36 Packs Pokemon TCG Brand New Factory Sealed,406.0,33,P2DT6H36M39S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267730995,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,405.0,48,P0DT0H58M12S
https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-Factory-Sealed-Booster-Box-GilbertGames-/313267734686,2016 Pokemon XY Evolutions Factory Sealed  Booster Box - GilbertGames,405.0,26,P0DT6H58M12S
https://www.ebay.com/itm/Pokemon-XY-Evolutions-Booster-Box-36-Packs-10-Cards-Factory-Sealed-Unopened-/402496266083,Pokemon XY Evolutions Booster Box 36 Packs of 10 Cards Factory Sealed Unopened,395.0,6,P0DT13H49M11S
https://www.ebay.com/itm/Pokemon-XY12-EVOLUTIONS-TCG-ENGLISH-Booster-Box-Factory-Sealed-/224201461195,Pokemon XY12 EVOLUTIONS TCG ENGLISH Booster Box Factory Sealed,405.0,53,P0DT15H6M30S
https://www.ebay.com/itm/50-Pokemon-XY-Evolutions-10-Card-Booster-Packs-Factory-sealed-More-Than-Box-/133552936764,50 Pokemon XY Evolutions 10 Card Booster Packs - Factory sealed More Than A Box,405.0,11,P5DT6H55M8S
